Week Ending Date,Infections,Population Denominator,Week Ending Date,infection,population deno.,fully vaccinated
1/23/2021,1,90457,1/23/2021,105,15800455,0.664537825
1/23/2021,0,90457,1/30/2021,245,26823700,0.913371384
1/23/2021,1,90457,2/6/2021,333,43129980,0.772084754
1/23/2021,0,90457,2/13/2021,1249,67972010,1.837521062
1/23/2021,1,90457,2/20/2021,1459,96561155,1.510959557
1/23/2021,1,90504,2/27/2021,1474,136261440,1.081744036
1/23/2021,0,90504,3/6/2021,1807,166369625,1.086135765
1/23/2021,1,90504,3/13/2021,2070,196063825,1.055778648
1/23/2021,0,90504,3/20/2021,2986,220227400,1.355871249
1/23/2021,1,90504,3/27/2021,5205,263299070,1.976839493
1/23/2021,1,90569,4/3/2021,4486,312648230,1.434839404
1/23/2021,0,90569,4/10/2021,6287,367363590,1.711383537
1/23/2021,1,90569,4/17/2021,8327,426861790,1.950748508
1/23/2021,0,90569,4/24/2021,7382,484373100,1.524031785
1/23/2021,1,90569,5/1/2021,8691,543580030,1.598844608
1/23/2021,1,90658,5/8/2021,7105,591653290,1.20087222
1/23/2021,0,90658,5/15/2021,6588,635875320,1.036052162
1/23/2021,1,90658,5/22/2021,6063,677855835,0.894437974
1/23/2021,0,90658,5/29/2021,4505,704465005,0.639492376
1/23/2021,1,90658,6/5/2021,5368,726321295,0.739066862
1/23/2021,1,90728,6/12/2021,4340,754493905,0.575220021
1/23/2021,0,90728,6/19/2021,4958,775344380,0.639457785
1/23/2021,1,90728,6/26/2021,5835,753314285,0.774577108
1/23/2021,0,90728,7/3/2021,8582,798733095,1.074451535
1/23/2021,1,90728,7/10/2021,15051,807210910,1.864568456
1/23/2021,1,90789,7/17/2021,24896,815483385,3.052913212
1/23/2021,0,90789,7/24/2021,43235,822607715,5.255846646
1/23/2021,1,90789,7/31/2021,74554,829396520,8.98894536
1/23/2021,0,90789,8/7/2021,95544,836337300,11.42409887
1/23/2021,1,90789,8/14/2021,115501,844289095,13.68026671
1/23/2021,1,90828,8/21/2021,140967,853499810,16.51634814
1/23/2021,0,90828,8/28/2021,143773,864050565,16.63941971
1/23/2021,1,90828,9/4/2021,150272,874688055,17.1800677
1/23/2021,0,90828,9/11/2021,158353,884018540,17.91285961
1/23/2021,1,90828,9/18/2021,154190,894188630,17.24356526
1/23/2021,1,90869,9/25/2021,142198,878119610,16.19346594
1/23/2021,0,90869,10/2/2021,125090,885340735,14.12902344
1/23/2021,1,90869,10/9/2021,114750,866633820,13.24088644
1/23/2021,0,90869,10/16/2021,99612,873917295,11.39833261
1/23/2021,1,90869,10/23/2021,80668,827550885,9.747799376
1/23/2021,1,90869,10/30/2021,70805,808881055,8.75345016
1/23/2021,0,90869,11/6/2021,70928,789621235,8.982534519
1/23/2021,1,90869,11/13/2021,82303,795649280,10.34413052
