Health District,Pfizer,Other
Alexandria,59.44436056,40.55563944
Alleghany,51.59848165,48.40151835
Arlington,54.34626951,45.65373049
Blue Ridge,54.8962614,45.1037386
Central Shenandoah,51.06571936,48.93428064
Central Virginia,51.64167628,48.35832372
Chesapeake,52.59796306,47.40203694
Chesterfield,53.96927017,46.03072983
Chickahominy,52.26439401,47.73560599
Crater,49.82869672,50.17130328
Cumberland Plateau,44.67618002,55.32381998
Eastern Shore,42.40942432,57.59057568
Fairfax,60.01833421,39.98166579
Hampton,55.46374716,44.53625284
Henrico,55.06543155,44.93456845
Lenowisco,43.77569479,56.22430521
Lord Fairfax,52.17648217,47.82351783
Loudoun,59.33400605,40.66599395
Mount Rogers,46.81389788,53.18610212
New River,49.76337823,50.23662177
Norfolk,53.25049523,46.74950477
Peninsula,54.85392295,45.14607705
Piedmont,46.83630195,53.16369805
Pittsylvania-Danville,48.01472012,51.98527988
Portsmouth,52.92432561,47.07567439
Prince William,59.0395884,40.9604116
Rappahannock,52.53350204,47.46649796
Rappahannock Rapidan,56.66000799,43.33999201
Richmond,53.45062946,46.54937054
Roanoke,55.73399218,44.26600782
Southside,47.2552533,52.7447467
Three Rivers,51.50887033,48.49112967
Virginia Beach,53.13221487,46.86778513
West Piedmont,44.83448123,55.16551877
Western Tidewater,52.48578811,47.51421189
