COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2015,POPESTIMATE2019
1,Alabama,Autauga County,54571,54864,55869
3,Alabama,Baldwin County,182265,202939,223234
5,Alabama,Barbour County,27457,26283,24686
7,Alabama,Bibb County,22915,22566,22394
9,Alabama,Blount County,57322,57526,57826
11,Alabama,Bullock County,10914,10400,10101
13,Alabama,Butler County,20947,20162,19448
15,Alabama,Calhoun County,118572,115469,113605
17,Alabama,Chambers County,34215,33996,33254
19,Alabama,Cherokee County,25989,25732,26196
21,Alabama,Chilton County,43643,43700,44428
23,Alabama,Choctaw County,13859,13231,12589
25,Alabama,Clarke County,25833,24698,23622
27,Alabama,Clay County,13932,13415,13235
29,Alabama,Cleburne County,14972,14914,14910
31,Alabama,Coffee County,49948,50963,52342
33,Alabama,Colbert County,54428,54417,55241
35,Alabama,Conecuh County,13228,12678,12067
37,Alabama,Coosa County,11539,10934,10663
39,Alabama,Covington County,37765,37556,37049
41,Alabama,Crenshaw County,13906,13850,13772
43,Alabama,Cullman County,80406,81761,83768
45,Alabama,Dale County,50251,49365,49172
47,Alabama,Dallas County,43820,40936,37196
49,Alabama,DeKalb County,71109,71087,71513
51,Alabama,Elmore County,79303,80872,81209
53,Alabama,Escambia County,38319,37661,36633
55,Alabama,Etowah County,104430,102998,102268
57,Alabama,Fayette County,17241,16696,16302
59,Alabama,Franklin County,31704,31515,31362
61,Alabama,Geneva County,26790,26631,26271
63,Alabama,Greene County,9045,8508,8111
65,Alabama,Hale County,15760,15015,14651
67,Alabama,Henry County,17302,17101,17205
69,Alabama,Houston County,101547,104260,105882
71,Alabama,Jackson County,53227,52195,51626
73,Alabama,Jefferson County,658466,660455,658573
75,Alabama,Lamar County,14564,13927,13805
77,Alabama,Lauderdale County,92709,92459,92729
79,Alabama,Lawrence County,34339,33135,32924
81,Alabama,Lee County,140247,156954,164542
83,Alabama,Limestone County,82782,91565,98915
85,Alabama,Lowndes County,11299,10350,9726
87,Alabama,Macon County,21452,19296,18068
89,Alabama,Madison County,334811,352977,372909
91,Alabama,Marengo County,21027,19766,18863
93,Alabama,Marion County,30776,30119,29709
95,Alabama,Marshall County,93019,94585,96774
97,Alabama,Mobile County,412992,414462,413210
99,Alabama,Monroe County,23068,21717,20733
101,Alabama,Montgomery County,229363,227279,226486
103,Alabama,Morgan County,119490,119257,119679
105,Alabama,Perry County,10591,9640,8923
107,Alabama,Pickens County,19746,20776,19930
109,Alabama,Pike County,32899,33496,33114
111,Alabama,Randolph County,22913,22594,22722
113,Alabama,Russell County,52947,58844,57961
115,Alabama,St. Clair County,83593,86546,89512
117,Alabama,Shelby County,195085,208959,217702
119,Alabama,Sumter County,13763,13206,12427
121,Alabama,Talladega County,82291,81128,79978
123,Alabama,Tallapoosa County,41616,40605,40367
125,Alabama,Tuscaloosa County,194656,204767,209355
127,Alabama,Walker County,67023,64931,63521
129,Alabama,Washington County,17581,16832,16326
131,Alabama,Wilcox County,11670,10896,10373
133,Alabama,Winston County,24484,23930,23629
13,Alaska,Aleutians East Borough,3141,3373,3337
16,Alaska,Aleutians West Census Area,5561,5781,5634
20,Alaska,Anchorage Municipality,291826,297547,288000
50,Alaska,Bethel Census Area,17013,17955,18386
60,Alaska,Bristol Bay Borough,997,904,836
68,Alaska,Denali Borough,1826,1933,2097
70,Alaska,Dillingham Census Area,4847,4988,4916
90,Alaska,Fairbanks North Star Borough,97581,99636,96849
100,Alaska,Haines Borough,2508,2516,2530
105,Alaska,Hoonah-Angoon Census Area,2150,2132,2148
110,Alaska,Juneau City and Borough,31275,32615,31974
122,Alaska,Kenai Peninsula Borough,55400,58034,58708
130,Alaska,Ketchikan Gateway Borough,13477,13702,13901
150,Alaska,Kodiak Island Borough,13592,13767,12998
158,Alaska,Kusilvak Census Area,7459,8194,8314
164,Alaska,Lake and Peninsula Borough,1631,1595,1592
170,Alaska,Matanuska-Susitna Borough,88995,101062,108317
180,Alaska,Nome Census Area,9492,9893,10004
185,Alaska,North Slope Borough,9430,9788,9832
188,Alaska,Northwest Arctic Borough,7523,7772,7621
195,Alaska,Petersburg Borough,3815,3253,3266
198,Alaska,Prince of Wales-Hyder Census Area,5559,6508,6203
220,Alaska,Sitka City and Borough,8881,8778,8493
230,Alaska,Skagway Municipality,968,1088,1183
240,Alaska,Southeast Fairbanks Census Area,7029,6812,6893
261,Alaska,Valdez-Cordova Census Area,9636,9319,9202
275,Alaska,Wrangell City and Borough,2369,2453,2502
282,Alaska,Yakutat City and Borough,662,635,579
290,Alaska,Yukon-Koyukuk Census Area,5588,5465,5230
1,Arizona,Apache County,71518,71012,71887
3,Arizona,Cochise County,131346,126454,125922
5,Arizona,Coconino County,134421,138962,143476
7,Arizona,Gila County,53597,52978,54018
9,Arizona,Graham County,37220,37860,38837
11,Arizona,Greenlee County,8437,9577,9498
12,Arizona,La Paz County,20489,20466,21108
13,Arizona,Maricopa County,3817117,4172905,4485414
15,Arizona,Mohave County,200186,204574,212181
17,Arizona,Navajo County,107449,107638,110924
19,Arizona,Pima County,980263,1009103,1047279
21,Arizona,Pinal County,375770,405614,462789
23,Arizona,Santa Cruz County,47420,46542,46498
25,Arizona,Yavapai County,211033,220805,235099
27,Arizona,Yuma County,195751,205186,213787
1,Arkansas,Arkansas County,19019,18330,17486
3,Arkansas,Ashley County,21853,20838,19657
5,Arkansas,Baxter County,41513,41138,41932
7,Arkansas,Benton County,221339,251591,279141
9,Arkansas,Boone County,36903,37119,37432
11,Arkansas,Bradley County,11508,10999,10763
13,Arkansas,Calhoun County,5368,5200,5189
15,Arkansas,Carroll County,27446,27755,28380
17,Arkansas,Chicot County,11800,10970,10118
19,Arkansas,Clark County,22995,22513,22320
21,Arkansas,Clay County,16083,15206,14551
23,Arkansas,Cleburne County,25970,25355,24919
25,Arkansas,Cleveland County,8689,8284,7956
27,Arkansas,Columbia County,24552,24115,23457
29,Arkansas,Conway County,21273,20936,20846
31,Arkansas,Craighead County,96443,104457,110332
33,Arkansas,Crawford County,61948,61904,63257
35,Arkansas,Crittenden County,50902,49019,47955
37,Arkansas,Cross County,17870,17255,16419
39,Arkansas,Dallas County,8116,7530,7009
41,Arkansas,Desha County,13008,12029,11361
43,Arkansas,Drew County,18509,18613,18219
45,Arkansas,Faulkner County,113237,121241,126007
47,Arkansas,Franklin County,18125,17749,17715
49,Arkansas,Fulton County,12245,12138,12477
51,Arkansas,Garland County,96024,97814,99386
53,Arkansas,Grant County,17853,18016,18265
