date,DAviationCO2 per day,GtransportCO2 per day
01/01/2020,0.480012,4.15557
02/01/2020,0.481107,4.1437
03/01/2020,0.484418,4.25618
04/01/2020,0.484563,4.21266
05/01/2020,0.48711,4.32222
06/01/2020,0.487968,4.321
07/01/2020,0.484951,4.31088
08/01/2020,0.474623,4.26781
09/01/2020,0.462994,4.24949
10/01/2020,0.458461,4.232
11/01/2020,0.457124,4.23335
12/01/2020,0.467503,4.22552
13/01/2020,0.470005,4.23144
14/01/2020,0.472159,4.23788
15/01/2020,0.472765,4.2452
16/01/2020,0.469459,4.25089
17/01/2020,0.468651,4.27261
18/01/2020,0.470571,4.27906
19/01/2020,0.469324,4.28052
20/01/2020,0.469121,4.2763
21/01/2020,0.468527,4.28463
22/01/2020,0.470831,4.31741
23/01/2020,0.47446,4.32766
24/01/2020,0.475992,4.31776
25/01/2020,0.474313,4.31329
26/01/2020,0.475184,4.31616
27/01/2020,0.476639,4.36129
28/01/2020,0.477251,4.41569
29/01/2020,0.477647,4.4165
30/01/2020,0.476058,4.40217
31/01/2020,0.476205,4.41069
01/02/2020,0.478278,4.41825
02/02/2020,0.477151,4.40791
03/02/2020,0.473024,4.34005
04/02/2020,0.471824,4.26029
05/02/2020,0.473576,4.24028
06/02/2020,0.47393,4.22661
07/02/2020,0.473862,4.23995
08/02/2020,0.471796,4.25248
09/02/2020,0.472975,4.29188
10/02/2020,0.47629,4.34593
11/02/2020,0.482839,4.44058
12/02/2020,0.484933,4.53371
13/02/2020,0.485543,4.62522
14/02/2020,0.485148,4.56017
15/02/2020,0.489283,4.58828
16/02/2020,0.493383,4.60779
17/02/2020,0.494783,4.60993
18/02/2020,0.490442,4.60847
19/02/2020,0.490184,4.61917
20/02/2020,0.494421,4.57847
21/02/2020,0.49665,4.59957
22/02/2020,0.494904,4.54651
23/02/2020,0.493113,4.43708
24/02/2020,0.494459,4.37698
25/02/2020,0.49567,4.29115
26/02/2020,0.49526,4.22298
27/02/2020,0.495389,4.19338
28/02/2020,0.495811,4.19519
01/03/2020,0.498144,4.34108
02/03/2020,0.499282,4.40734
03/03/2020,0.500171,4.47102
04/03/2020,0.502776,4.52063
05/03/2020,0.509461,4.58044
06/03/2020,0.511246,4.62888
07/03/2020,0.513015,4.62149
08/03/2020,0.514944,4.7037
09/03/2020,0.516855,4.7938
10/03/2020,0.518457,4.82714
11/03/2020,0.522242,4.82127
12/03/2020,0.52115,4.73407
13/03/2020,0.519871,4.70568
14/03/2020,0.519245,4.64233
15/03/2020,0.512936,4.47988
16/03/2020,0.500863,4.27663
17/03/2020,0.485088,4.09641
18/03/2020,0.469539,3.89918
19/03/2020,0.450748,3.78317
20/03/2020,0.427303,3.64477
21/03/2020,0.403515,3.53812
22/03/2020,0.3821,3.43027
23/03/2020,0.361412,3.3436
24/03/2020,0.340094,3.25307
25/03/2020,0.320021,3.1716
26/03/2020,0.305257,3.1347
27/03/2020,0.292253,3.11545
28/03/2020,0.27996,3.09746
29/03/2020,0.269997,3.09477
30/03/2020,0.258419,3.10919
31/03/2020,0.248996,3.10555
01/04/2020,0.241616,3.10513
02/04/2020,0.233868,3.11366
