date,ResidentialCO2 per day,IndustrialCO2 per day
01/01/2020,2.5233,2.69204
02/01/2020,2.61472,2.69576
03/01/2020,2.6776,2.70402
04/01/2020,2.68062,2.71062
05/01/2020,2.71065,2.71425
06/01/2020,2.76912,2.71486
07/01/2020,2.78289,2.71064
08/01/2020,2.74112,2.70992
09/01/2020,2.68074,2.73349
10/01/2020,2.66283,2.73465
11/01/2020,2.61638,2.73674
12/01/2020,2.52114,2.73601
13/01/2020,2.48167,2.75843
14/01/2020,2.62348,2.78706
15/01/2020,2.77546,2.80051
16/01/2020,2.90916,2.82387
17/01/2020,3.06453,2.88371
18/01/2020,3.24723,2.91767
19/01/2020,3.39257,2.94962
20/01/2020,3.43471,2.96927
21/01/2020,3.33471,2.9748
22/01/2020,3.24765,2.97899
23/01/2020,3.15298,2.96571
24/01/2020,3.00231,2.91547
25/01/2020,2.86318,2.88755
26/01/2020,2.79768,2.91774
27/01/2020,2.81339,2.93288
28/01/2020,2.84887,2.93869
29/01/2020,2.85301,2.93655
30/01/2020,2.80782,2.90133
31/01/2020,2.73036,2.87005
01/02/2020,2.65785,2.84771
02/02/2020,2.62847,2.83514
03/02/2020,2.59635,2.82823
04/02/2020,2.58448,2.82865
05/02/2020,2.64419,2.83279
06/02/2020,2.71527,2.8398
07/02/2020,2.76688,2.88098
08/02/2020,2.79802,2.91002
09/02/2020,2.78097,2.90863
10/02/2020,2.77958,2.9046
11/02/2020,2.88368,2.91778
12/02/2020,2.94581,2.91774
13/02/2020,2.92392,2.93251
14/02/2020,2.91234,2.91577
15/02/2020,2.89004,2.89848
16/02/2020,2.8957,2.90482
17/02/2020,2.94328,2.89147
18/02/2020,2.91867,2.87453
19/02/2020,2.82932,2.86766
20/02/2020,2.79171,2.84618
21/02/2020,2.76242,2.83752
22/02/2020,2.74629,2.82686
23/02/2020,2.71205,2.80542
24/02/2020,2.65704,2.81329
25/02/2020,2.58917,2.8249
26/02/2020,2.59296,2.81296
27/02/2020,2.60609,2.80591
28/02/2020,2.57484,2.80759
01/03/2020,2.42501,2.78263
02/03/2020,2.31687,2.732
03/03/2020,2.22622,2.69792
04/03/2020,2.16346,2.6782
05/03/2020,2.10159,2.66145
06/03/2020,2.03463,2.6495
07/03/2020,2.00328,2.67268
08/03/2020,1.98506,2.68927
09/03/2020,1.93041,2.70032
10/03/2020,1.83968,2.69452
11/03/2020,1.78233,2.73254
12/03/2020,1.80598,2.78405
13/03/2020,1.91949,2.82592
14/03/2020,1.99386,2.82573
15/03/2020,2.02033,2.80614
16/03/2020,2.01877,2.80123
17/03/2020,2.0029,2.79018
18/03/2020,2.02299,2.78441
19/03/2020,2.04664,2.77771
20/03/2020,2.02062,2.76167
21/03/2020,2.00722,2.75523
22/03/2020,2.00215,2.76362
23/03/2020,2.00884,2.7643
24/03/2020,2.00822,2.76905
25/03/2020,1.91257,2.72302
26/03/2020,1.77946,2.67322
27/03/2020,1.69856,2.61961
28/03/2020,1.68399,2.58822
29/03/2020,1.66054,2.52725
30/03/2020,1.64293,2.48081
31/03/2020,1.64834,2.44362
01/04/2020,1.66888,2.45495
02/04/2020,1.67064,2.45052
03/04/2020,1.62661,2.43317
04/04/2020,1.50965,2.4196
05/04/2020,1.40743,2.44549
06/04/2020,1.37606,2.45353
07/04/2020,1.40759,2.44165
08/04/2020,1.40382,2.40472
09/04/2020,1.39147,2.38488
10/04/2020,1.41489,2.38431
11/04/2020,1.52618,2.37568
12/04/2020,1.66099,2.36471
13/04/2020,1.735,2.3486
14/04/2020,1.74379,2.35133
15/04/2020,1.75564,2.34615
16/04/2020,1.76729,2.35466
17/04/2020,1.7533,2.3519
18/04/2020,1.68951,2.34187
19/04/2020,1.62712,2.31631
20/04/2020,1.55121,2.3203
21/04/2020,1.46881,2.30549
22/04/2020,1.39823,2.30851
23/04/2020,1.36089,2.28464
24/04/2020,1.35135,2.26386
25/04/2020,1.30665,2.25376
26/04/2020,1.23034,2.25328
27/04/2020,1.18764,2.25076
28/04/2020,1.16791,2.22814
29/04/2020,1.11497,2.20709
30/04/2020,1.04134,2.21567
01/05/2020,1.00128,2.2245
02/05/2020,1.04287,2.2257
03/05/2020,1.10456,2.2323
04/05/2020,1.14419,2.21765
05/05/2020,1.19337,2.23371
06/05/2020,1.34106,2.24287
07/05/2020,1.46153,2.23455
08/05/2020,1.53828,2.23131
09/05/2020,1.57356,2.23516
10/05/2020,1.57314,2.22649
11/05/2020,1.52593,2.24458
12/05/2020,1.41311,2.26229
13/05/2020,1.24696,2.28308
14/05/2020,1.14184,2.30214
15/05/2020,1.04358,2.31886
16/05/2020,0.947036,2.32303
17/05/2020,0.892582,2.33173
18/05/2020,0.884885,2.32437
19/05/2020,0.890137,2.3324
20/05/2020,0.88413,2.32694
21/05/2020,0.874023,2.32961
22/05/2020,0.851187,2.32908
23/05/2020,0.805938,2.36222
24/05/2020,0.740398,2.42041
25/05/2020,0.683444,2.46716
26/05/2020,0.663025,2.49711
27/05/2020,0.657245,2.51445
28/05/2020,0.658871,2.51535
29/05/2020,0.695343,2.49376
30/05/2020,0.714578,2.46208
31/05/2020,0.726742,2.43904
01/06/2020,0.7381,2.42616
02/06/2020,0.748609,2.4074
03/06/2020,0.755397,2.39482
04/06/2020,0.753274,2.38776
05/06/2020,0.722588,2.409
06/06/2020,0.721609,2.41903
07/06/2020,0.725349,2.40522
08/06/2020,0.726216,2.3792
09/06/2020,0.728401,2.35287
10/06/2020,0.745085,2.32596
11/06/2020,0.761408,2.30831
12/06/2020,0.763469,2.2953
13/06/2020,0.760361,2.27078
14/06/2020,0.7616,2.24252
15/06/2020,0.76489,2.24713
16/06/2020,0.764824,2.27773
17/06/2020,0.744764,2.32332
18/06/2020,0.714136,2.35886
19/06/2020,0.698893,2.40371
20/06/2020,0.688358,2.44914
21/06/2020,0.680822,2.49157
22/06/2020,0.675364,2.51368
23/06/2020,0.670602,2.51786
24/06/2020,0.667843,2.51666
25/06/2020,0.669178,2.51945
26/06/2020,0.673443,2.50916
27/06/2020,0.677219,2.49973
28/06/2020,0.676536,2.47126
29/06/2020,0.674351,2.44599
30/06/2020,0.670916,2.42277
01/07/2020,0.666098,2.4077
02/07/2020,0.658445,2.40493
03/07/2020,0.6477,2.3962
04/07/2020,0.63962,2.38731
05/07/2020,0.635525,2.40189
06/07/2020,0.632455,2.41189
07/07/2020,0.6303,2.42548
08/07/2020,0.628773,2.44168
09/07/2020,0.627627,2.44775
10/07/2020,0.627085,2.44567
11/07/2020,0.626015,2.44403
12/07/2020,0.625134,2.45341
13/07/2020,0.62399,2.46326
14/07/2020,0.623826,2.46117
15/07/2020,0.623956,2.45775
16/07/2020,0.623669,2.46712
17/07/2020,0.622953,2.48227
18/07/2020,0.622157,2.49632
19/07/2020,0.621827,2.50053
20/07/2020,0.622876,2.49534
21/07/2020,0.623801,2.50041
22/07/2020,0.625463,2.49816
23/07/2020,0.62621,2.4959
24/07/2020,0.626273,2.49873
25/07/2020,0.626301,2.49978
26/07/2020,0.625961,2.49902
27/07/2020,0.624932,2.50877
28/07/2020,0.624062,2.51073
29/07/2020,0.620068,2.53376
30/07/2020,0.61762,2.5462
31/07/2020,0.61637,2.553
01/08/2020,0.615229,2.54897
02/08/2020,0.614471,2.54503
03/08/2020,0.612812,2.53512
04/08/2020,0.611745,2.52377
05/08/2020,0.612211,2.50895
06/08/2020,0.612415,2.50509
07/08/2020,0.611178,2.51126
08/08/2020,0.609899,2.52986
09/08/2020,0.609282,2.54806
10/08/2020,0.610512,2.57584
11/08/2020,0.608924,2.61359
12/08/2020,0.607609,2.64193
13/08/2020,0.606083,2.6528
14/08/2020,0.605254,2.64991
15/08/2020,0.604288,2.6482
16/08/2020,0.603144,2.63972
17/08/2020,0.601509,2.62102
18/08/2020,0.600811,2.60012
19/08/2020,0.601338,2.57986
20/08/2020,0.602295,2.57705
21/08/2020,0.602902,2.58761
22/08/2020,0.60365,2.5839
23/08/2020,0.60487,2.56514
24/08/2020,0.60842,2.55358
25/08/2020,0.610317,2.53596
26/08/2020,0.614038,2.50446
27/08/2020,0.618602,2.45003
28/08/2020,0.626841,2.39223
29/08/2020,0.627915,2.41068
30/08/2020,0.624269,2.46372
31/08/2020,0.617614,2.51156
01/09/2020,0.614664,2.55941
02/09/2020,0.609857,2.60535
03/09/2020,0.604362,2.65158
04/09/2020,0.594793,2.68385
05/09/2020,0.612293,2.65811
06/09/2020,0.647143,2.62398
07/09/2020,0.681063,2.60058
08/09/2020,0.704844,2.58705
09/09/2020,0.719506,2.58355
10/09/2020,0.726919,2.59565
11/09/2020,0.73482,2.61542
12/09/2020,0.743111,2.62182
13/09/2020,0.729822,2.63122
14/09/2020,0.70816,2.63631
15/09/2020,0.714421,2.61913
16/09/2020,0.767914,2.58128
17/09/2020,0.828864,2.53464
18/09/2020,0.880664,2.49697
19/09/2020,0.901227,2.48216
20/09/2020,0.891798,2.46796
21/09/2020,0.885853,2.44941
22/09/2020,0.861191,2.43357
23/09/2020,0.796433,2.43176
24/09/2020,0.735799,2.44471
25/09/2020,0.703826,2.44348
26/09/2020,0.698564,2.42896
27/09/2020,0.727025,2.40459
28/09/2020,0.756073,2.42397
29/09/2020,0.814517,2.45344
30/09/2020,0.885914,2.49286
01/10/2020,0.948743,2.5294
02/10/2020,0.982723,2.54741
03/10/2020,0.97596,2.58713
04/10/2020,0.938437,2.63607
05/10/2020,0.931219,2.63445
06/10/2020,0.898293,2.63035
07/10/2020,0.825527,2.62963
08/10/2020,0.768629,2.60954
09/10/2020,0.738823,2.62651
10/10/2020,0.745879,2.61292
11/10/2020,0.78525,2.58103
12/10/2020,0.799638,2.562
13/10/2020,0.852082,2.54803
14/10/2020,0.95062,2.51281
15/10/2020,1.02802,2.51634
16/10/2020,1.08568,2.54008
17/10/2020,1.11193,2.56255
18/10/2020,1.11581,2.59855
19/10/2020,1.11318,2.61777
20/10/2020,1.07516,2.63665
21/10/2020,1.07029,2.67555
22/10/2020,1.11854,2.67889
23/10/2020,1.17874,2.67098
24/10/2020,1.25897,2.68299
25/10/2020,1.34504,2.67898
26/10/2020,1.42538,2.68669
27/10/2020,1.53754,2.7037
28/10/2020,1.60951,2.69432
29/10/2020,1.63041,2.71713
30/10/2020,1.689,2.73101
31/10/2020,1.70313,2.71451
01/11/2020,1.68482,2.70632
02/11/2020,1.63809,2.71508
03/11/2020,1.54717,2.71014
04/11/2020,1.44928,2.69768
05/11/2020,1.36077,2.6664
06/11/2020,1.23293,2.63935
07/11/2020,1.15387,2.65396
08/11/2020,1.15597,2.69046
09/11/2020,1.23945,2.70162
10/11/2020,1.36696,2.71314
11/11/2020,1.49394,2.73233
12/11/2020,1.58079,2.75
13/11/2020,1.67672,2.76782
14/11/2020,1.80176,2.77954
15/11/2020,1.91923,2.75772
16/11/2020,1.95344,2.73859
17/11/2020,1.88901,2.74333
18/11/2020,1.84618,2.78071
19/11/2020,1.87825,2.80762
20/11/2020,1.90133,2.81352
21/11/2020,1.92047,2.80313
22/11/2020,1.88611,2.82442
23/11/2020,1.85583,2.81272
24/11/2020,1.9042,2.78423
25/11/2020,1.95584,2.76957
26/11/2020,1.99847,2.75764
27/11/2020,2.03783,2.79704
28/11/2020,2.09617,2.80027
29/11/2020,2.20721,2.79781
30/11/2020,2.34768,2.8297
01/12/2020,2.42765,2.87656
02/12/2020,2.49757,2.89771
03/12/2020,2.56459,2.92535
04/12/2020,2.63689,2.9201
05/12/2020,2.65508,2.93443
06/12/2020,2.62722,2.93228
07/12/2020,2.577,2.91226
08/12/2020,2.55597,2.88183
09/12/2020,2.50677,2.86036
10/12/2020,2.44907,2.84279
11/12/2020,2.44985,2.82949
12/12/2020,2.506,2.83404
13/12/2020,2.5932,2.86262
14/12/2020,2.70742,2.91823
15/12/2020,2.82803,2.93388
16/12/2020,2.94736,2.94634
17/12/2020,3.01485,2.94541
18/12/2020,2.97433,2.9195
19/12/2020,2.87406,2.87261
20/12/2020,2.76236,2.80558
21/12/2020,2.69597,2.74987
22/12/2020,2.68916,2.74061
23/12/2020,2.72653,2.72707
24/12/2020,2.74776,2.7163
25/12/2020,2.76988,2.71491
26/12/2020,2.83403,2.7227
27/12/2020,2.89164,2.73423
28/12/2020,2.89674,2.75279
29/12/2020,2.87522,2.75277
30/12/2020,2.78632,2.75766
31/12/2020,2.76453,2.77154
01/01/2021,2.77857,2.78072
02/01/2021,2.75614,2.7907
03/01/2021,2.74716,2.8009
04/01/2021,2.76424,2.82155
05/01/2021,2.78432,2.86411
06/01/2021,2.86019,2.9032
07/01/2021,2.91786,2.94237
08/01/2021,2.98523,2.98113
09/01/2021,3.03396,3.01943
10/01/2021,3.04472,3.03416
11/01/2021,3.00382,2.99706
12/01/2021,2.93373,2.94676
13/01/2021,2.85757,2.91651
14/01/2021,2.79191,2.87797
15/01/2021,2.71694,2.83348
16/01/2021,2.67464,2.79661
17/01/2021,2.68127,2.78946
18/01/2021,2.70667,2.80022
19/01/2021,2.73622,2.81806
20/01/2021,2.81512,2.81234
21/01/2021,2.8779,2.81208
22/01/2021,2.91289,2.80451
23/01/2021,2.93243,2.81642
24/01/2021,2.9583,2.83203
25/01/2021,3.05048,2.85836
26/01/2021,3.156,2.85945
27/01/2021,3.1552,2.84106
28/01/2021,3.13338,2.8304
29/01/2021,3.15367,2.82505
30/01/2021,3.17502,2.7947
31/01/2021,3.17623,2.74049
01/02/2021,3.10773,2.66811
02/02/2021,3.03092,2.6116
03/02/2021,3.0307,2.58278
04/02/2021,3.10835,2.56343
05/02/2021,3.19488,2.56088
06/02/2021,3.24872,2.57326
07/02/2021,3.30573,2.60787
08/02/2021,3.398,2.65529
09/02/2021,3.51621,2.70717
10/02/2021,3.61786,2.7507
11/02/2021,3.683,2.76732
12/02/2021,3.73293,2.76632
13/02/2021,3.7879,2.72944
14/02/2021,3.86489,2.69281
15/02/2021,3.88808,2.65368
16/02/2021,3.86636,2.61204
17/02/2021,3.81265,2.56309
18/02/2021,3.70445,2.50874
19/02/2021,3.50926,2.45384
20/02/2021,3.29484,2.42026
21/02/2021,3.02762,2.38144
22/02/2021,2.83227,2.36085
23/02/2021,2.6845,2.3392
24/02/2021,2.50506,2.32032
25/02/2021,2.33578,2.31124
26/02/2021,2.29077,2.39094
27/02/2021,2.38294,2.47827
28/02/2021,2.44146,2.56277
01/03/2021,2.44662,2.60404
02/03/2021,2.45423,2.65241
03/03/2021,2.50597,2.71715
04/03/2021,2.59615,2.76694
05/03/2021,2.59826,2.73226
06/03/2021,2.43406,2.68391
07/03/2021,2.30883,2.63485
08/03/2021,2.18969,2.63538
09/03/2021,2.04762,2.62613
10/03/2021,1.95897,2.58765
11/03/2021,1.86302,2.55599
12/03/2021,1.88244,2.57886
13/03/2021,1.97626,2.63516
14/03/2021,2.05657,2.66617
15/03/2021,2.13543,2.66727
16/03/2021,2.23725,2.69765
17/03/2021,2.28101,2.71656
18/03/2021,2.27419,2.72165
19/03/2021,2.16205,2.69078
20/03/2021,2.03764,2.65603
21/03/2021,1.93362,2.64765
22/03/2021,1.85416,2.66919
23/03/2021,1.72847,2.64137
24/03/2021,1.60689,2.64211
25/03/2021,1.54328,2.66587
26/03/2021,1.55968,2.65746
27/03/2021,1.55683,2.64043
