date,totalcase,caseperdate,totaldeath,deathperdate,Aviation,ground
1/21/2020,1,0,0,0,0.468527,4.28463
1/22/2020,1,0,0,0,0.470831,4.31741
1/23/2020,1,0,0,0,0.47446,4.32766
1/24/2020,2,1,0,0,0.475992,4.31776
1/25/2020,3,1,0,0,0.474313,4.31329
1/26/2020,5,2,0,0,0.475184,4.31616
1/27/2020,5,0,0,0,0.476639,4.36129
1/28/2020,5,0,0,0,0.477251,4.41569
1/29/2020,5,0,0,0,0.477647,4.4165
1/30/2020,6,1,0,0,0.476058,4.40217
1/31/2020,7,1,0,0,0.476205,4.41069
2/1/2020,8,1,0,0,0.478278,4.41825
2/2/2020,11,3,0,0,0.477151,4.40791
2/3/2020,11,0,0,0,0.473024,4.34005
2/4/2020,11,0,0,0,0.471824,4.26029
2/5/2020,12,1,0,0,0.473576,4.24028
2/6/2020,12,0,0,0,0.47393,4.22661
2/7/2020,12,0,0,0,0.473862,4.23995
2/8/2020,12,0,0,0,0.471796,4.25248
2/9/2020,12,0,0,0,0.472975,4.29188
2/10/2020,13,1,0,0,0.47629,4.34593
2/11/2020,13,0,0,0,0.482839,4.44058
2/12/2020,14,1,0,0,0.484933,4.53371
2/13/2020,15,1,0,0,0.485543,4.62522
2/14/2020,15,0,0,0,0.485148,4.56017
2/15/2020,15,0,0,0,0.489283,4.58828
2/16/2020,15,0,0,0,0.493383,4.60779
2/17/2020,25,10,0,0,0.494783,4.60993
2/18/2020,25,0,0,0,0.490442,4.60847
2/19/2020,25,0,0,0,0.490184,4.61917
2/20/2020,27,2,0,0,0.494421,4.57847
2/21/2020,30,3,0,0,0.49665,4.59957
2/22/2020,30,0,0,0,0.494904,4.54651
2/23/2020,30,0,0,0,0.493113,4.43708
2/24/2020,43,13,0,0,0.494459,4.37698
2/25/2020,45,2,0,0,0.49567,4.29115
2/26/2020,60,15,0,0,0.49526,4.22298
2/27/2020,60,0,0,0,0.495389,4.19338
2/28/2020,65,5,0,0,0.495811,4.19519
2/29/2020,70,5,1,1,0.498144,4.34108
3/1/2020,88,18,3,2,0.499282,4.40734
3/2/2020,104,16,6,3,0.500171,4.47102
3/3/2020,125,21,10,4,0.502776,4.52063
3/4/2020,161,36,12,2,0.509461,4.58044
3/5/2020,228,67,12,0,0.511246,4.62888
3/6/2020,311,83,15,3,0.513015,4.62149
